variable,area
-3.518639822,980.4006234
-5.449584319,1243.906685
-0.461850482,740.8508147
3.802457708,1015.173207
2.205264513,840.8638948
-0.941043582,756.0497084
-2.04282731,826.1907344
6.214071866,1359.162304
-5.58226965,1263.269551
1.994377775,822.0517901
-6.599084622,1420.02231
-3.527591963,981.6171506
-2.518458157,869.8822578
6.856740068,1461.145379
2.549723664,872.8371211
2.168430418,837.3293966
-3.041790864,924.4347514
1.614849716,793.3814578
2.859521498,904.778723
2.825153456,901.5793467
